資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1131219","4923","力士","N/A","2.00000000","5.81","1.89"
"1131219","4924","欣厚-KY","N/A","0","0.00","1.84"
"1131219","4931","新盛力","24.83","0.80000000","1.23","3.81"
"1131219","4933","友輝","11.14","2.97709900","4.53","1.50"
"1131219","4939","亞電","60.63","0.50000000","2.58","1.23"
"1131219","4945","陞達科技","28.45","2.00000000","2.79","3.22"
"1131219","4946","辣椒","N/A","0","0.00","6.23"
"1131219","4950","牧東","N/A","0","0.00","3.38"
"1131219","4951","精拓科","16.15","2.50000000","3.78","2.63"
"1131219","4953","緯軟","14.83","4.95741414","4.24","2.26"
"1131219","4966","譜瑞-KY","24.68","12.76692735","1.65","2.85"
"1131219","4971","IET-KY","N/A","0","0.00","2.06"
"1131219","4972","湯石照明","33.10","0.70000000","2.98","0.83"
"1131219","4973","廣穎","10.45","2.00000000","6.56","0.90"
"1131219","4974","亞泰","16.88","4.20000000","4.02","2.37"
"1131219","4979","華星光","45.93","1.43000433","0.82","7.77"
"1131219","4987","科誠","12.83","3.50000000","4.60","2.10"
"1131219","4991","環宇-KY","N/A","0","0.00","4.45"
"1131219","4995","晶達","14.31","3.19969628","4.77","2.93"
"1131219","5009","榮剛","9.22","2.50000000","5.56","1.43"
"1131219","5011","久陽","13.74","1.00000000","4.95","0.89"
"1131219","5013","強新","19.20","0.90000000","2.77","1.17"
"1131219","5014","建錩","37.43","1.00000000","7.22","0.82"
"1131219","5015","華祺","85.58","3.00000000","8.15","1.71"
"1131219","5016","松和","17.19","0.70000000","2.55","0.93"
"1131219","5201","凱衛","27.20","1.50000000","5.15","2.21"
"1131219","5202","力新","6.15","0.70000000","3.00","1.61"
"1131219","5205","中茂","N/A","0","0.00","6.69"
"1131219","5206","坤悅","10.85","1.30000000","3.18","1.98"
"1131219","5209","新鼎","12.66","10.51163408","5.96","5.36"
"1131219","5210","寶碩","N/A","0","0.00","3.36"
"1131219","5211","蒙恬","N/A","0","0.00","2.21"
"1131219","5212","凌網","14.50","3.00000000","5.15","3.89"
"1131219","5213","亞昕","34.55","0.50548665","1.64","1.52"
"1131219","5220","萬達光電","57.84","0.90000000","4.21","1.08"
"1131219","5223","安力-KY","N/A","0","0.00","0.70"
"1131219","5227","立凱-KY","N/A","0","0.00","4.84"
"1131219","5228","鈺鎧","N/A","0","0.00","1.35"
"1131219","5230","雷笛克光學","38.16","0.51682237","1.78","1.16"
"1131219","5236","凌陽創新","17.91","7.00000000","4.70","3.51"
"1131219","5245","智晶","N/A","0","0.00","1.57"
"1131219","5251","天鉞電","N/A","0","0.00","2.10"
"1131219","5263","智崴","N/A","0.50000000","0.33","2.74"
"1131219","5272","笙科","N/A","0","0.00","1.52"
"1131219","5274","信驊","76.59","20.00000000","0.51","31.44"
"1131219","5276","達輝-KY","94.76","0.60000000","3.02","1.56"
"1131219","5278","尚凡*","50.53","12.77456623","3.37","20.94"
"1131219","5287","數字","15.41","10.73850488","5.76","5.28"
"1131219","5289","宜鼎","17.49","10.40000000","4.95","2.67"
"1131219","5291","邑昇","126.05","0.80000000","3.34","1.03"
"1131219","5299","杰力","18.00","4.11000000","4.70","1.40"
"1131219","5301","寶得利","N/A","0","0.00","2.18"
"1131219","5302","太欣","N/A","0","0.00","1.23"
"1131219","5309","系統電","51.91","0.69998896","1.77","2.52"
"1131219","5310","天剛","15.31","0","0.00","5.26"
"1131219","5312","寶島科","13.13","6.00000000","5.50","1.98"
"1131219","5314","世紀","46.07","1.80000000","0.38","21.86"
"1131219","5315","光聯","27.73","0.80000000","3.85","1.33"
"1131219","5321","美而快","N/A","1.00000000","1.70","3.97"
"1131219","5324","士開","145.00","0","0.00","2.11"
"1131219","5328","華容","127.14","0.35000000","1.97","1.58"
"1131219","5340","建榮","73.00","0","0.00","3.84"
"1131219","5344","立衛","25.86","0","0.00","2.72"
"1131219","5345","天揚","N/A","0","0.00","4.26"
"1131219","5347","世界","20.84","4.50000000","4.66","3.59"
"1131219","5348","正能量智能","N/A","0","0.00","2.07"
"1131219","5351","鈺創","N/A","0","0.00","2.68"
"1131219","5353","台林","17.76","1.42000000","4.32","1.83"
"1131219","5355","佳總","N/A","0","0.00","1.72"
"1131219","5356","協益","4.41","2.30000000","7.55","0.68"
"1131219","5364","力麗店","N/A","0","0.00","2.56"
"1131219","5371","中光電","36.34","3.00000000","3.64","1.32"
"1131219","5381","合正","62.97","0","0.00","3.76"
"1131219","5386","青雲","33.94","1.30000000","1.56","4.69"
"1131219","5392","能率","530.00","0.30000000","0.94","0.92"
"1131219","5398","慕康生醫","N/A","0","0.00","1.89"
"1131219","5403","中菲","16.53","6.00078664","5.13","3.70"
"1131219","5410","國眾","18.27","2.06146392","6.52","2.07"
"1131219","5425","台半","35.48","2.00000000","3.64","1.77"
"1131219","5426","振發","70.00","0","0.00","2.01"
"1131219","5432","新門","116.40","1.00000000","0.69","7.79"
"1131219","5438","東友","121.74","0.50000000","1.79","1.10"
"1131219","5439","高技","37.77","4.10000000","3.36","4.81"
"1131219","5443","均豪","52.24","1.20000000","1.03","2.66"
"1131219","5450","南良","24.00","0.24997755","1.39","1.25"
"1131219","5452","佶優","121.92","0.15000000","0.47","2.20"
"1131219","5455","昇益","11.08","0","0.00","4.18"
"1131219","5457","宣德","32.45","0.31944492","0.54","2.20"
"1131219","5460","同協","N/A","0","0.00","1.21"
"1131219","5464","霖宏","N/A","0.80000000","3.29","1.27"
"1131219","5465","富驊","21.47","1.50000000","4.04","2.28"
"1131219","5468","凱鈺","N/A","0","0.00","2.68"
"1131219","5474","聰泰","27.37","3.50000000","2.02","3.69"
"1131219","5475","德宏","N/A","0","0.00","1.93"
"1131219","5478","智冠","17.85","9.00000000","7.03","1.99"
"1131219","5481","新華","N/A","0","0.00","1.57"
"1131219","5483","中美晶","11.69","8.80000000","6.20","1.72"
"1131219","5487","通泰","N/A","0","0.00","1.68"
"1131219","5488","松普","N/A","0","0.00","1.17"
"1131219","5489","彩富","48.81","1.02028666","2.61","1.75"
"1131219","5490","同亨","N/A","0","0.00","1.88"
"1131219","5493","三聯","13.23","3.10000000","4.07","1.79"
"1131219","5498","凱崴","N/A","0","0.00","1.07"
"1131219","5508","永信建","7.13","11.29120000","7.95","3.93"
"1131219","5511","德昌","8.23","5.00000000","7.99","1.20"
"1131219","5512","力麒","82.42","0.54000000","5.46","0.55"
"1131219","5514","三豐","97.75","0.50000000","2.56","1.42"
"1131219","5516","雙喜","N/A","0.50000000","2.73","1.77"
"1131219","5520","力泰","9.41","4.60000000","5.61","1.92"
"1131219","5523","豐謙","18.71","1.50000000","5.45","1.41"
"1131219","5529","鉅陞","N/A","0","0.00","2.58"
"1131219","5530","龍巖","19.78","0","0.00","0.91"
